Time (s),Temp (Ohm) (X????1),Temp (Ohm) (X58257),Temp (Ohm) (X????2),Pressure (Torr),col11
1.61337,51.748,71.061,53.741,769.868,54.485
11.6131,51.747,71.004,53.741,769.751,54.487
21.6137,51.747,71.066,53.739,770.106,54.486
31.6144,51.747,71.066,53.651,768.983,54.486
41.6148,51.749,71.066,53.742,767.985,54.485
51.6149,51.749,71.06,53.741,769.81,54.485
61.6142,51.751,71.069,53.741,767.389,54.489
71.6149,51.751,71.069,53.74,769.218,54.487
81.6146,51.75,71.066,53.739,768.689,54.487
91.6145,51.749,71.066,53.742,769.806,54.488
101.614,51.749,71.07,53.742,766.571,54.472
111.614,51.751,71.067,53.742,768.395,54.492
121.615,51.751,71.067,53.744,768.276,54.491
131.615,51.751,71.071,53.742,769.514,54.491
141.614,51.751,71.071,53.742,768.806,54.493
151.614,51.751,71.075,53.743,768.924,54.492
161.615,51.752,71.074,53.743,767.921,54.492
171.615,51.743,71.074,53.748,766.688,54.493
181.615,51.754,71.071,53.745,768.745,54.493
191.614,51.754,71.001,53.745,767.272,54.492
201.614,51.754,71.08,53.745,768.689,54.492
211.615,51.756,71.078,53.745,766.509,54.492
221.614,51.757,71.078,53.747,767.094,54.497
231.615,51.757,71.081,53.748,767.804,54.497
241.615,51.756,71.083,53.748,771.823,54.496
251.616,51.756,71.083,53.748,767.804,54.495
261.615,51.758,71.08,53.732,765.449,54.495
271.616,51.754,71.08,53.75,769.105,54.493
281.615,51.754,71.078,53.748,769.395,54.453
291.615,51.756,71.081,53.748,767.688,54.498
301.615,51.756,71.081,53.75,766.508,54.497
311.615,51.757,71.08,53.749,767.451,54.497
321.616,51.758,71.08,53.749,766.981,54.494
331.616,51.758,71.084,53.75,764.806,54.496
341.615,51.759,71.084,53.75,766.924,54.496
351.615,51.743,71.084,53.751,765.273,54.497
361.615,51.76,71.085,53.752,765.628,54.497
371.615,51.759,71.004,53.752,766.215,54.5
381.615,51.759,71.089,53.752,765.217,54.501
391.615,51.762,71.087,53.752,766.684,54.501
401.615,51.759,71.087,53.75,766.804,54.498
411.615,51.759,71.088,53.752,765.453,54.498
421.615,51.761,71.088,53.752,767.097,54.501
431.615,51.761,71.088,53.753,766.098,54.501
441.615,51.763,71.095,53.729,763.867,54.501
451.615,51.762,71.095,53.756,768.453,54.501
461.615,51.762,71.091,53.753,766.564,54.44
471.615,51.762,71.093,53.753,766.979,54.502
481.615,51.762,71.093,53.756,766.097,54.501
491.615,51.763,71.089,53.753,766.917,54.501
501.615,51.764,71.089,53.753,764.745,54.505
511.616,51.764,71.101,53.755,765.628,54.505
521.616,51.764,71.097,53.755,765.98,54.505
531.615,51.741,71.097,53.756,765.862,54.506
541.615,51.768,71.102,53.758,766.155,54.506
551.615,51.764,70.961,53.758,764.632,54.507
561.615,51.764,71.105,53.756,764.454,54.506
571.615,51.765,71.104,53.756,764.391,54.506
581.617,51.767,71.104,53.758,765.862,54.507
591.617,51.767,71.1,53.759,764.393,54.507
601.617,51.767,71.104,53.759,762.577,54.507
611.617,51.767,71.104,53.759,765.273,54.507
621.617,51.77,71.106,53.738,764.865,54.507
631.617,51.768,71.106,53.762,764.277,54.509
641.619,51.768,71.108,53.76,764.805,54.45
651.619,51.768,71.104,53.76,761.584,54.51
661.62,51.768,71.104,53.763,763.221,54.508
671.62,51.769,71.109,53.761,764.688,54.508
681.62,51.77,71.109,53.761,763.046,54.51
691.62,51.77,71.111,53.761,765.157,54.51
701.622,51.771,71.112,53.761,763.634,54.51
711.621,51.736,71.112,53.762,765.041,54.511
721.622,51.772,71.113,53.765,763.046,54.511
731.621,51.772,70.981,53.765,774.258,54.51
741.621,51.772,71.12,53.764,708.739,54.516
751.621,51.777,71.124,53.764,714.03,54.516
761.622,51.784,71.124,53.775,674.605,54.526
771.622,51.784,71.141,53.788,637.263,54.526
781.622,51.797,71.153,53.788,584.053,54.54
791.623,51.797,71.158,53.803,558.665,54.554
801.623,51.812,71.178,53.799,556.825,54.554
811.623,51.818,71.178,53.815,546.072,54.56
821.624,51.818,71.185,53.814,546.155,54.502
831.624,51.817,71.185,53.814,547.12,54.566
841.623,51.817,71.185,53.81,547.625,54.563
851.623,51.818,71.185,53.815,528.143,54.563
861.624,51.819,71.185,53.815,487.025,54.562
871.624,51.819,71.196,53.824,446.772,54.571
881.623,51.829,71.21,53.824,394.049,54.575
891.623,51.804,71.21,53.847,333.926,54.597
901.623,51.853,71.245,53.864,286.166,54.597
911.624,51.871,71.245,53.864,246.539,54.62
921.623,51.871,71.275,53.885,217.445,54.639
931.624,51.888,71.296,53.885,188.836,54.639
941.624,51.893,71.296,53.901,155.746,54.65
951.625,51.893,71.307,53.906,108.931,54.65
961.625,51.898,71.309,53.906,77.956,54.655
971.626,51.898,71.321,53.911,57.3478,54.657
981.626,51.902,71.319,53.861,43.8784,54.657
991.627,51.902,71.319,53.912,34.0474,54.653
1001.63,51.902,71.321,53.903,26.2492,54.653
1011.63,51.898,71.316,53.903,19.8922,54.653
1021.63,51.898,71.316,53.9,14.5195,54.649
1031.63,51.894,71.315,53.9,10.6541,54.649
1041.63,51.893,71.315,53.9,7.79565,54.646
1051.63,51.893,71.31,53.896,5.73082,54.638
1061.63,51.885,71.304,53.896,4.24473,54.638
1071.63,51.836,71.304,53.889,3.1404,54.638
1081.63,51.884,71.3,53.884,2.32337,54.638
1091.63,51.879,71.3,53.884,1.72749,54.634
1101.63,51.879,71.297,53.883,1.29405,54.628
1111.63,51.877,71.295,53.883,0.976977,54.628
1121.63,51.873,71.295,53.874,0.741564,54.622
1131.63,51.873,71.293,53.874,0.566261,54.622
1141.63,51.868,71.281,53.874,0.43707,54.621
1151.63,51.868,71.291,53.871,0.340762,54.616
1161.63,51.868,71.287,53.836,0.269309,54.616
1171.63,51.865,71.287,53.869,0.215817,54.61
1181.63,51.865,71.281,53.863,0.175194,54.61
1191.63,51.861,71.28,53.863,0.144716,54.613
1201.63,51.861,71.28,53.861,0.121194,54.61
1211.63,51.861,71.279,53.859,0.103161,54.61
1221.63,51.855,71.279,53.859,0.0893821,54.605
1231.63,51.855,71.277,53.856,0.078581,54.604
1241.63,51.857,71.274,53.856,0.0700247,54.608
1251.63,51.792,71.274,53.857,0.0636529,54.605
1261.63,51.857,71.27,53.852,0.0584096,54.605
1271.63,51.855,71.27,53.852,0.0543691,54.604
1281.63,51.855,71.277,53.851,0.050931,54.603
1291.63,51.852,71.272,53.851,0.0481967,54.603
1301.63,51.851,71.272,53.851,0.0459322,54.6
1311.63,51.851,71.276,53.851,0.0439796,54.6
1321.63,51.851,71.261,53.851,0.0421973,54.6
1331.63,51.851,71.271,53.851,0.0407708,54.6
1341.63,51.852,71.273,53.813,0.039508,54.6
1351.64,51.849,71.273,53.852,0.0382254,54.597
