Time (s),Temp1 (Ohm),Temp2 (Ohm),Maybe Temp 3 (Ohm),Pressure (Torr),Temp (Ohm) (X58257)
1.56955,3.34148,47.0,3.85596,765.568,71.778
2.98177,3.34148,47.0,3.85596,771.999,71.778
4.30186,3.34148,16.5,3.85596,767.097,71.778
5.56546,3.34148,16.5,3.85596,750.96,71.778
6.94578,3.34148,16.5,3.85596,736.522,71.778
8.19532,3.34148,8.1,3.85596,716.56,71.778
9.4824,3.34148,8.1,3.85596,708.571,71.778
10.7547,3.34148,6.08,3.85596,687.15,71.778
12.293949999999999,3.34148,5.2846,3.85596,669.349,71.778
13.55091,3.34148,5.2846,3.85596,667.296,71.778
14.80707,3.34148,5.2846,3.85596,664.64,71.778
16.15242,3.34148,5.3034,3.85596,661.228,71.778
17.42362,3.34148,5.3056,3.85596,657.736,71.778
18.79949,3.34148,5.3069,3.85596,658.037,71.778
20.10147,3.34148,5.3074,3.85596,651.254,71.778
21.4951,3.34148,5.3074,0.0,653.157,71.778
22.789099999999998,3.34148,5.3074,0.0,648.759,71.778
24.1104,3.34148,5.3074,0.0,648.36,71.778
25.3901,3.34148,5.3074,0.0,642.962,71.778
26.66,3.34148,5.3074,2500.0,638.436,71.778
27.9313,3.34148,5.3074,2460.0,634.285,71.778
29.3197,3.34148,5.3074,2460.0,628.276,71.778
30.6005,3.34148,5.3074,1460.0,626.108,71.778
31.9195,3.34148,5.3074,1460.0,618.894,71.778
33.1931,3.34148,5.3074,1012.0,614.824,71.778
34.6068,3.34148,5.3074,1012.0,607.881,71.778
35.915099999999995,3.34148,5.3074,766.0,605.319,71.778
37.279799999999994,3.34148,5.3074,766.0,598.297,71.778
38.5914,3.34148,5.3074,766.0,592.176,71.778
39.776399999999995,3.34148,5.3074,615.0,583.423,71.778
41.0088,3.34148,5.3074,615.0,576.657,71.778
42.2902,3.34148,5.3074,513.6,573.875,71.778
43.4801,3.34148,5.3074,513.6,569.531,71.778
44.827799999999996,3.34148,5.3074,513.6,563.746,71.778
46.1148,3.34148,5.3074,440.87,566.87,71.778
47.4709,3.34148,5.3074,440.87,560.469,71.778
48.747,3.34148,5.3074,386.26,561.676,71.778
50.0108,3.34148,5.3074,386.26,560.9,71.778
51.2874,3.34148,5.3074,386.26,558.964,71.778
52.6774,3.34148,5.3074,3.897,558.837,71.778
54.0781,3.34148,5.3074,3.897,557.937,71.778
55.3503,3.34148,5.3074,3.897,558.238,71.778
56.5826,3.34148,5.3074,3.897,554.863,71.778
57.8304,3.34148,5.3074,3.8421,554.692,71.778
59.1195,3.34148,5.3074,3.8421,554.393,71.778
60.2919,3.34148,5.3074,3.8421,553.119,71.778
61.6204,3.34148,5.3074,3.8398,550.578,71.778
62.909,3.34148,5.3074,3.8398,549.985,71.778
64.2804,3.34148,5.3074,3.8369,548.26,71.778
65.598,3.34148,5.3074,3.8369,550.493,71.778
67.0073,3.34148,5.3074,3.8369,548.17,71.778
68.2757,3.34148,5.3074,3.83742,546.575,71.778
69.5418,3.34148,5.3074,3.84054,547.289,71.778
70.8404,3.34148,5.3074,3.84458,544.19,71.778
72.3386,3.34148,5.3074,3.84635,543.939,71.778
73.6015,3.34148,5.3074,3.84714,543.899,71.778
103.7778,3.34148,5.3074,3.84762,500.475,71.9
104.9788,3.34148,5.3074,3.84762,500.823,71.9
106.2998,3.34148,5.3074,3.84762,493.004,71.69
107.601,3.34148,5.3074,3.84762,484.489,71.692
108.9321,3.34148,5.3074,3.84762,475.209,71.692
110.249,3.34148,5.3074,3.84762,465.249,71.601
111.5547,3.34148,5.3074,3.84762,454.866,71.601
112.8947,3.34148,5.3074,3.84762,443.56,71.75
114.2017,3.34148,5.3074,3.84762,437.17,71.85
115.5237,3.34148,5.3074,3.84762,429.256,71.88
116.8477,3.34148,5.3074,3.84762,422.003,71.895
118.2197,3.34148,5.3074,3.84762,414.208,71.901
119.4957,3.34148,5.3074,3.84762,406.991,71.901
120.8007,3.34148,5.3074,3.84762,401.034,71.901
122.0757,3.33119,5.3074,3.84762,395.141,71.901
123.2907,3.33311,5.3074,3.84762,388.552,71.901
124.6697,3.33406,5.3074,3.84762,382.283,71.901
126.0417,3.33535,5.3074,3.84762,376.865,71.901
127.4257,3.33566,5.3074,3.84762,371.608,71.901
128.6797,3.33577,5.3074,3.84762,366.424,71.901
130.0007,3.33583,5.3074,3.84762,361.952,71.901
131.35070000000002,3.33583,5.3074,3.84762,354.527,71.901
132.5657,3.33583,5.3074,3.84762,349.772,71.901
133.8437,3.33583,5.3003,3.84762,344.973,71.901
135.1567,3.33583,5.3029,3.84762,339.273,71.901
136.5717,3.33583,5.3024,3.84762,334.954,71.901
137.8607,3.33583,5.3022,3.84762,330.714,71.901
139.1467,3.33583,5.302,3.84762,326.776,71.901
140.3707,3.33583,5.302,3.84762,320.986,71.901
141.7697,3.33583,5.302,3.84762,316.751,71.901
143.0987,3.33583,5.302,3.8387,312.188,71.901
144.3677,3.33583,5.302,3.84068,307.173,71.901
145.71769999999998,3.33583,5.302,3.84226,304.546,71.901
147.1017,3.33583,5.302,3.84317,301.058,71.901
148.33870000000002,3.33583,5.302,3.84353,297.657,71.901
149.6327,3.33583,5.302,3.84371,290.326,71.901
150.9457,3.33583,5.302,3.8438,284.96,71.901
152.3247,3.33583,5.302,3.8438,279.095,71.901
153.65769999999998,3.33583,5.302,3.8438,273.138,71.901
154.92669999999998,3.33583,5.302,3.8438,266.819,71.985
156.3077,3.33583,5.302,3.8438,261.486,72.001
157.6877,3.33583,5.302,3.8438,258.613,72.008
159.06369999999998,3.33583,5.302,3.8438,251.605,72.009
160.38369999999998,3.33583,5.302,3.8438,244.016,72.009
161.65769999999998,3.33583,5.302,3.8438,237.038,72.009
163.0417,3.32706,5.302,3.8438,232.141,72.009
164.41070000000002,3.33019,5.302,3.8438,227.536,72.009
165.66269999999997,3.33108,5.302,3.8438,221.556,72.009
166.88170000000002,3.33198,5.302,3.8438,216.464,72.009
168.33069999999998,3.33242,5.302,3.8438,210.968,72.009
169.6927,3.33254,5.302,3.8438,205.566,72.009
171.08370000000002,3.33255,5.302,3.8438,200.886,72.009
172.39069999999998,3.33254,5.302,3.8438,194.514,72.009
173.6997,3.33254,5.302,3.8438,189.518,72.009
174.9837,3.33254,5.2948,3.8438,184.268,72.009
