Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
71.061,51.748,53.741,54.485
71.004,51.747,53.741,54.487
71.066,51.747,53.739,54.486
71.066,51.747,53.651,54.486
71.066,51.749,53.742,54.485
71.06,51.749,53.741,54.485
71.069,51.751,53.741,54.489
71.069,51.751,53.74,54.487
71.066,51.75,53.739,54.487
71.066,51.749,53.742,54.488
71.07,51.749,53.742,54.472
71.067,51.751,53.742,54.492
71.067,51.751,53.744,54.491
71.071,51.751,53.742,54.491
71.071,51.751,53.742,54.493
71.075,51.751,53.743,54.492
71.074,51.752,53.743,54.492
71.074,51.743,53.748,54.493
71.071,51.754,53.745,54.493
71.001,51.754,53.745,54.492
71.08,51.754,53.745,54.492
71.078,51.756,53.745,54.492
71.078,51.757,53.747,54.497
71.081,51.757,53.748,54.497
71.083,51.756,53.748,54.496
71.083,51.756,53.748,54.495
71.08,51.758,53.732,54.495
71.08,51.754,53.75,54.493
71.078,51.754,53.748,54.453
71.081,51.756,53.748,54.498
71.081,51.756,53.75,54.497
71.08,51.757,53.749,54.497
71.08,51.758,53.749,54.494
71.084,51.758,53.75,54.496
71.084,51.759,53.75,54.496
71.084,51.743,53.751,54.497
71.085,51.76,53.752,54.497
71.004,51.759,53.752,54.5
71.089,51.759,53.752,54.501
71.087,51.762,53.752,54.501
71.087,51.759,53.75,54.498
71.088,51.759,53.752,54.498
71.088,51.761,53.752,54.501
71.088,51.761,53.753,54.501
71.095,51.763,53.729,54.501
71.095,51.762,53.756,54.501
71.091,51.762,53.753,54.44
71.093,51.762,53.753,54.502
71.093,51.762,53.756,54.501
71.089,51.763,53.753,54.501
71.089,51.764,53.753,54.505
71.101,51.764,53.755,54.505
71.097,51.764,53.755,54.505
71.097,51.741,53.756,54.506
71.102,51.768,53.758,54.506
70.961,51.764,53.758,54.507
71.105,51.764,53.756,54.506
71.104,51.765,53.756,54.506
71.104,51.767,53.758,54.507
71.1,51.767,53.759,54.507
71.104,51.767,53.759,54.507
71.104,51.767,53.759,54.507
71.106,51.77,53.738,54.507
71.106,51.768,53.762,54.509
71.108,51.768,53.76,54.45
71.104,51.768,53.76,54.51
71.104,51.768,53.763,54.508
71.109,51.769,53.761,54.508
71.109,51.77,53.761,54.51
71.111,51.77,53.761,54.51
71.112,51.771,53.761,54.51
71.112,51.736,53.762,54.511
71.113,51.772,53.765,54.511
70.981,51.772,53.765,54.51
71.12,51.772,53.764,54.516
71.124,51.777,53.764,54.516
71.124,51.784,53.775,54.526
71.141,51.784,53.788,54.526
71.153,51.797,53.788,54.54
71.158,51.797,53.803,54.554
71.178,51.812,53.799,54.554
71.178,51.818,53.815,54.56
71.185,51.818,53.814,54.502
71.185,51.817,53.814,54.566
71.185,51.817,53.81,54.563
71.185,51.818,53.815,54.563
71.185,51.819,53.815,54.562
71.196,51.819,53.824,54.571
71.21,51.829,53.824,54.575
71.21,51.804,53.847,54.597
71.245,51.853,53.864,54.597
71.245,51.871,53.864,54.62
71.275,51.871,53.885,54.639
71.296,51.888,53.885,54.639
71.296,51.893,53.901,54.65
71.307,51.893,53.906,54.65
71.309,51.898,53.906,54.655
71.321,51.898,53.911,54.657
71.319,51.902,53.861,54.657
71.319,51.902,53.912,54.653
71.321,51.902,53.903,54.653
71.316,51.898,53.903,54.653
71.316,51.898,53.9,54.649
71.315,51.894,53.9,54.649
71.315,51.893,53.9,54.646
71.31,51.893,53.896,54.638
71.304,51.885,53.896,54.638
71.304,51.836,53.889,54.638
71.3,51.884,53.884,54.638
71.3,51.879,53.884,54.634
71.297,51.879,53.883,54.628
71.295,51.877,53.883,54.628
71.295,51.873,53.874,54.622
71.293,51.873,53.874,54.622
71.281,51.868,53.874,54.621
71.291,51.868,53.871,54.616
71.287,51.868,53.836,54.616
71.287,51.865,53.869,54.61
71.281,51.865,53.863,54.61
71.28,51.861,53.863,54.613
71.28,51.861,53.861,54.61
71.279,51.861,53.859,54.61
71.279,51.855,53.859,54.605
71.277,51.855,53.856,54.604
71.274,51.857,53.856,54.608
71.274,51.792,53.857,54.605
71.27,51.857,53.852,54.605
71.27,51.855,53.852,54.604
71.277,51.855,53.851,54.603
71.272,51.852,53.851,54.603
71.272,51.851,53.851,54.6
71.276,51.851,53.851,54.6
71.261,51.851,53.851,54.6
71.271,51.851,53.851,54.6
71.273,51.852,53.813,54.6
71.273,51.849,53.852,54.597
71.27,51.849,53.85,54.597
71.271,51.852,53.85,54.6
71.271,51.852,53.847,54.593
71.274,51.853,53.85,54.593
71.274,51.848,53.85,54.595
71.274,51.848,53.846,54.597
71.273,51.848,53.846,54.602
71.273,51.782,53.845,54.595
71.271,51.851,53.849,54.595
71.271,51.851,53.849,54.6
71.273,51.851,53.851,54.596
71.27,51.849,53.851,54.596
71.27,51.85,53.845,54.595
71.274,51.85,53.847,54.595
71.248,51.851,53.847,54.6
71.271,51.851,53.845,54.595
71.267,51.85,53.802,54.595
71.267,51.85,53.849,54.599
71.272,51.85,53.85,54.599
71.271,51.853,53.85,54.598
71.271,51.853,53.85,54.597
71.277,51.851,53.85,54.597
71.277,51.85,53.85,54.599
71.278,51.85,53.848,54.597
71.278,51.85,53.848,54.601
71.278,51.787,53.85,54.598
71.276,51.854,53.851,54.598
71.276,51.853,53.851,54.601
71.279,51.853,53.849,54.601
71.273,51.85,53.849,54.601
71.273,51.851,53.852,54.599
71.279,51.851,53.85,54.599
71.254,51.852,53.85,54.599
71.278,51.852,53.851,54.599
