Time (s),Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
1.61337,71.061,51.748,53.741,54.485
11.6131,71.004,51.747,53.741,54.487
21.6137,71.066,51.747,53.739,54.486
31.6144,71.066,51.747,53.651,54.486
41.6148,71.066,51.749,53.742,54.485
51.6149,71.06,51.749,53.741,54.485
61.6142,71.069,51.751,53.741,54.489
71.6149,71.069,51.751,53.74,54.487
81.6146,71.066,51.75,53.739,54.487
91.6145,71.066,51.749,53.742,54.488
101.614,71.07,51.749,53.742,54.472
111.614,71.067,51.751,53.742,54.492
121.615,71.067,51.751,53.744,54.491
131.615,71.071,51.751,53.742,54.491
141.614,71.071,51.751,53.742,54.493
151.614,71.075,51.751,53.743,54.492
161.615,71.074,51.752,53.743,54.492
171.615,71.074,51.743,53.748,54.493
181.615,71.071,51.754,53.745,54.493
191.614,71.001,51.754,53.745,54.492
201.614,71.08,51.754,53.745,54.492
211.615,71.078,51.756,53.745,54.492
221.614,71.078,51.757,53.747,54.497
231.615,71.081,51.757,53.748,54.497
241.615,71.083,51.756,53.748,54.496
251.616,71.083,51.756,53.748,54.495
261.615,71.08,51.758,53.732,54.495
271.616,71.08,51.754,53.75,54.493
281.615,71.078,51.754,53.748,54.453
291.615,71.081,51.756,53.748,54.498
301.615,71.081,51.756,53.75,54.497
311.615,71.08,51.757,53.749,54.497
321.616,71.08,51.758,53.749,54.494
331.616,71.084,51.758,53.75,54.496
341.615,71.084,51.759,53.75,54.496
351.615,71.084,51.743,53.751,54.497
361.615,71.085,51.76,53.752,54.497
371.615,71.004,51.759,53.752,54.5
381.615,71.089,51.759,53.752,54.501
391.615,71.087,51.762,53.752,54.501
401.615,71.087,51.759,53.75,54.498
411.615,71.088,51.759,53.752,54.498
421.615,71.088,51.761,53.752,54.501
431.615,71.088,51.761,53.753,54.501
441.615,71.095,51.763,53.729,54.501
451.615,71.095,51.762,53.756,54.501
461.615,71.091,51.762,53.753,54.44
471.615,71.093,51.762,53.753,54.502
481.615,71.093,51.762,53.756,54.501
491.615,71.089,51.763,53.753,54.501
501.615,71.089,51.764,53.753,54.505
511.616,71.101,51.764,53.755,54.505
521.616,71.097,51.764,53.755,54.505
531.615,71.097,51.741,53.756,54.506
541.615,71.102,51.768,53.758,54.506
551.615,70.961,51.764,53.758,54.507
561.615,71.105,51.764,53.756,54.506
571.615,71.104,51.765,53.756,54.506
581.617,71.104,51.767,53.758,54.507
591.617,71.1,51.767,53.759,54.507
601.617,71.104,51.767,53.759,54.507
611.617,71.104,51.767,53.759,54.507
621.617,71.106,51.77,53.738,54.507
631.617,71.106,51.768,53.762,54.509
641.619,71.108,51.768,53.76,54.45
651.619,71.104,51.768,53.76,54.51
661.62,71.104,51.768,53.763,54.508
671.62,71.109,51.769,53.761,54.508
681.62,71.109,51.77,53.761,54.51
691.62,71.111,51.77,53.761,54.51
701.622,71.112,51.771,53.761,54.51
711.621,71.112,51.736,53.762,54.511
721.622,71.113,51.772,53.765,54.511
731.621,70.981,51.772,53.765,54.51
741.621,71.12,51.772,53.764,54.516
751.621,71.124,51.777,53.764,54.516
761.622,71.124,51.784,53.775,54.526
771.622,71.141,51.784,53.788,54.526
781.622,71.153,51.797,53.788,54.54
791.623,71.158,51.797,53.803,54.554
801.623,71.178,51.812,53.799,54.554
811.623,71.178,51.818,53.815,54.56
821.624,71.185,51.818,53.814,54.502
831.624,71.185,51.817,53.814,54.566
841.623,71.185,51.817,53.81,54.563
851.623,71.185,51.818,53.815,54.563
861.624,71.185,51.819,53.815,54.562
871.624,71.196,51.819,53.824,54.571
881.623,71.21,51.829,53.824,54.575
891.623,71.21,51.804,53.847,54.597
901.623,71.245,51.853,53.864,54.597
911.624,71.245,51.871,53.864,54.62
921.623,71.275,51.871,53.885,54.639
931.624,71.296,51.888,53.885,54.639
941.624,71.296,51.893,53.901,54.65
951.625,71.307,51.893,53.906,54.65
961.625,71.309,51.898,53.906,54.655
971.626,71.321,51.898,53.911,54.657
981.626,71.319,51.902,53.861,54.657
991.627,71.319,51.902,53.912,54.653
1001.63,71.321,51.902,53.903,54.653
1011.63,71.316,51.898,53.903,54.653
1021.63,71.316,51.898,53.9,54.649
1031.63,71.315,51.894,53.9,54.649
1041.63,71.315,51.893,53.9,54.646
1051.63,71.31,51.893,53.896,54.638
1061.63,71.304,51.885,53.896,54.638
1071.63,71.304,51.836,53.889,54.638
1081.63,71.3,51.884,53.884,54.638
1091.63,71.3,51.879,53.884,54.634
1101.63,71.297,51.879,53.883,54.628
1111.63,71.295,51.877,53.883,54.628
1121.63,71.295,51.873,53.874,54.622
1131.63,71.293,51.873,53.874,54.622
1141.63,71.281,51.868,53.874,54.621
1151.63,71.291,51.868,53.871,54.616
1161.63,71.287,51.868,53.836,54.616
1171.63,71.287,51.865,53.869,54.61
1181.63,71.281,51.865,53.863,54.61
1191.63,71.28,51.861,53.863,54.613
1201.63,71.28,51.861,53.861,54.61
1211.63,71.279,51.861,53.859,54.61
1221.63,71.279,51.855,53.859,54.605
1231.63,71.277,51.855,53.856,54.604
1241.63,71.274,51.857,53.856,54.608
1251.63,71.274,51.792,53.857,54.605
1261.63,71.27,51.857,53.852,54.605
1271.63,71.27,51.855,53.852,54.604
1281.63,71.277,51.855,53.851,54.603
1291.63,71.272,51.852,53.851,54.603
1301.63,71.272,51.851,53.851,54.6
1311.63,71.276,51.851,53.851,54.6
1321.63,71.261,51.851,53.851,54.6
1331.63,71.271,51.851,53.851,54.6
1341.63,71.273,51.852,53.813,54.6
1351.64,71.273,51.849,53.852,54.597
1361.64,71.27,51.849,53.85,54.597
1371.64,71.271,51.852,53.85,54.6
1381.64,71.271,51.852,53.847,54.593
1391.64,71.274,51.853,53.85,54.593
1401.64,71.274,51.848,53.85,54.595
1411.64,71.274,51.848,53.846,54.597
1421.64,71.273,51.848,53.846,54.602
1431.64,71.273,51.782,53.845,54.595
1441.64,71.271,51.851,53.849,54.595
1451.64,71.271,51.851,53.849,54.6
1461.64,71.273,51.851,53.851,54.596
1471.64,71.27,51.849,53.851,54.596
1481.64,71.27,51.85,53.845,54.595
1491.64,71.274,51.85,53.847,54.595
1501.64,71.248,51.851,53.847,54.6
1511.64,71.271,51.851,53.845,54.595
1521.64,71.267,51.85,53.802,54.595
1531.64,71.267,51.85,53.849,54.599
1541.64,71.272,51.85,53.85,54.599
1551.64,71.271,51.853,53.85,54.598
1561.64,71.271,51.853,53.85,54.597
1571.64,71.277,51.851,53.85,54.597
1581.64,71.277,51.85,53.85,54.599
1591.64,71.278,51.85,53.848,54.597
1601.64,71.278,51.85,53.848,54.601
1611.64,71.278,51.787,53.85,54.598
1621.64,71.276,51.854,53.851,54.598
1631.64,71.276,51.853,53.851,54.601
1641.64,71.279,51.853,53.849,54.601
1651.64,71.273,51.85,53.849,54.601
1661.65,71.273,51.851,53.852,54.599
1671.65,71.279,51.851,53.85,54.599
1681.65,71.254,51.852,53.85,54.599
1691.65,71.278,51.852,53.851,54.599
1701.65,71.276,51.853,53.81,54.599
1711.65,71.276,51.853,53.851,54.599
1721.65,71.282,51.853,53.853,54.599
1731.65,71.277,51.857,53.853,54.601
1741.65,71.277,51.857,53.851,54.604
1751.65,71.28,51.855,53.855,54.604
1761.65,71.28,51.855,53.855,54.602
1771.65,71.322,51.855,53.854,54.602
1781.65,71.487,51.87,53.854,54.609
1791.65,71.487,51.823,53.876,54.638
1801.65,71.748,51.916,53.919,54.638
1811.65,71.748,51.994,53.919,54.703
1821.65,72.079,51.994,54.002,54.803
1831.65,72.463,52.104,54.002,54.803
1841.65,72.463,52.247,54.118,54.943
1851.65,72.89,52.247,54.266,54.943
1861.65,73.304,52.416,54.266,55.112
1871.65,73.343,52.416,54.439,55.303
1881.65,73.817,52.605,54.58,55.303
1891.65,73.817,52.816,54.636,55.52
1901.65,74.335,52.816,54.851,55.52
1911.65,74.856,53.044,54.851,55.752
1921.65,74.856,53.044,55.081,56.0
1931.65,75.394,53.277,55.326,56.0
1941.65,75.394,53.524,55.326,56.263
1951.65,75.962,53.524,55.588,56.523
1961.65,76.535,53.785,55.588,56.542
1971.65,76.535,53.785,55.859,56.828
1981.65,77.118,54.054,56.135,56.828
1991.65,77.118,54.332,56.135,57.125
2001.65,77.72,54.332,56.423,57.426
2011.65,78.327,54.614,56.423,57.426
2021.65,78.327,54.903,56.72,57.739
2031.65,78.945,54.906,57.024,57.739
2041.65,79.482,55.195,57.024,58.056
2051.65,79.579,55.195,57.33,58.385
2061.65,80.209,55.502,57.33,58.385
2071.65,80.209,55.807,57.651,58.714
2081.65,80.855,55.807,57.965,58.714
2091.65,81.506,56.114,57.965,59.047
2101.65,81.506,56.114,58.287,59.381
2111.65,82.163,56.428,58.602,59.381
2121.65,82.163,56.738,58.614,59.727
2131.65,82.822,56.738,58.94,60.035
2141.66,83.487,57.057,58.94,60.07
2151.66,83.487,57.057,59.274,60.411
2161.66,84.161,57.374,59.606,60.411
2171.66,84.161,57.693,59.606,60.757
2181.66,84.831,57.693,59.939,61.106
2191.66,85.505,58.011,59.939,61.106
2201.66,85.505,58.316,60.271,61.458
2211.66,86.19,58.337,60.607,61.458
2221.66,86.745,58.654,60.607,61.807
2231.66,86.886,58.654,60.948,62.161
