Temperature             Resistance
(Kelvin)                (Ohms)

3.59860563596856E+00   1.09784974412762E+04
3.79613886909733E+00   9.97535020320819E+03
3.99994709711632E+00   9.10600330594423E+03
4.20672492732877E+00   8.35757798102733E+03
4.68281728769191E+00   7.02337487349749E+03
5.08404467015450E+00   6.17860471120836E+03
5.58580448846058E+00   5.36725482817472E+03
6.28977070757427E+00   4.53314624185059E+03
7.09977790806675E+00   3.84617239134074E+03
8.11017183809904E+00   3.23772988046560E+03
9.12202180669525E+00   2.79945218797491E+03
1.01396869803564E+01   2.46726502411368E+03
1.11626288738909E+01   2.20632413361830E+03
1.21774126988500E+01   1.99827650848506E+03
1.31880892615288E+01   1.82801343870682E+03
1.41867458612976E+01   1.68679275262622E+03
1.51806026814556E+01   1.56695173491052E+03
1.61655340647502E+01   1.46431124230862E+03
1.71416381731677E+01   1.37518019273755E+03
1.81180678793873E+01   1.29634865042494E+03
1.90973637509762E+01   1.22615636367615E+03
2.00702342212660E+01   1.16330959039244E+03
2.11476092871282E+01   1.10118416625804E+03
2.27407154387805E+01   1.02045474937020E+03
2.43632662110307E+01   9.49492336750754E+02
2.60327817222098E+01   8.86133138752498E+02
2.76990819982858E+01   8.30622876603762E+02
2.93557314280083E+01   7.81974370423460E+02
3.12084174685743E+01   7.33731617380171E+02
3.33463336680443E+01   6.84866652316833E+02
3.63722691895580E+01   6.25723137933345E+02
3.93830549512339E+01   5.76137084708499E+02
4.23820809747166E+01   5.33935775083767E+02
4.53805730162982E+01   4.97374936435802E+02
4.83752813419386E+01   4.65554919990162E+02
5.03687855231057E+01   4.46492929113661E+02
5.53629778335207E+01   4.04848221006925E+02
6.03542057388169E+01   3.70306294796595E+02
6.53384406575184E+01   3.41152085518670E+02
7.03280021991616E+01   3.16248939424199E+02
7.53163029929479E+01   2.94651324322298E+02
8.03087550310619E+01   2.75786373223698E+02
8.53027422029038E+01   2.59169350927306E+02
9.02896255331297E+01   2.44409631669823E+02
9.52804322983415E+01   2.31213921286975E+02
1.00279004278602E+02   2.19330234118925E+02
1.10277758443366E+02   1.98803143499225E+02
1.20261330599783E+02   1.81749405381875E+02
1.30245147662509E+02   1.67330361007152E+02
1.40237705592599E+02   1.54962654771730E+02
1.50232037788939E+02   1.44263410293556E+02
1.60233511802359E+02   1.34923480521091E+02
1.70231456029603E+02   1.26701588458539E+02
1.80231752620112E+02   1.19411217258596E+02
1.90231380121622E+02   1.12910114025542E+02
2.00222247175902E+02   1.07100434766194E+02
2.10217205700439E+02   1.01858398771274E+02
2.20220780890375E+02   9.71158483886132E+01
2.30214801833107E+02   9.28133106270518E+01
2.40199195081974E+02   8.88904340564408E+01
2.50207774376515E+02   8.52959260748541E+01
2.60195216220425E+02   8.20094382655723E+01
2.70203585398649E+02   7.89784278367563E+01
2.80193258148731E+02   7.61852225389413E+01
2.90201992205168E+02   7.35945853285286E+01
3.00191569808730E+02   7.12061263036729E+01
3.10196561073868E+02   6.89779991321839E+01
3.15194722596949E+02   6.79168991786080E+01
3.20175955882547E+02   6.69079815384796E+01
3.26154881897340E+02   6.57369555896392E+01
3.30172780963266E+02   6.49676871483710E+01
