Temperature             Resistance
(Kelvin)                (Ohms)

1.20552263785683E+00   2.68222633603882E+04
1.30143573016367E+00   2.22178496657537E+04
1.39984042354491E+00   1.87101508728499E+04
1.60006912605082E+00   1.39926024319944E+04
1.79971346524082E+00   1.10572460232556E+04
2.00100176051290E+00   9.07247298596847E+03
2.19641029443468E+00   7.71080281621005E+03
2.40139694729075E+00   6.65642233763664E+03
2.60071916202182E+00   5.87458200153884E+03
2.79799906531318E+00   5.26500673388341E+03
2.99678279212264E+00   4.76931591328507E+03
3.20023346872663E+00   4.35406340350052E+03
3.40068416155408E+00   4.01413877569671E+03
3.59926595733765E+00   3.72921518829117E+03
3.80069506888895E+00   3.48202970062356E+03
3.99506087559621E+00   3.27526538781520E+03
4.20106157074770E+00   3.08452583826622E+03
4.62723337366034E+00   2.75877482307747E+03
5.03427475951248E+00   2.51616975460544E+03
5.54348664798424E+00   2.27263013648450E+03
6.25981789808632E+00   2.01038478579443E+03
7.07636924488655E+00   1.78735314824715E+03
8.10387305911970E+00   1.57925602566777E+03
9.13280352281699E+00   1.42255595953768E+03
1.01607231188029E+01   1.30001248083154E+03
1.11835689110203E+01   1.20153514524135E+03
1.21965288794193E+01   1.12051878735757E+03
1.31999018275932E+01   1.05249132808625E+03
1.41925225462421E+01   9.94486987807359E+02
1.51798608220090E+01   9.43987580730749E+02
1.61619673684652E+01   8.99594187906844E+02
1.71342313195443E+01   8.60230572129336E+02
1.81089201735144E+01   8.24636337322432E+02
1.90818764971874E+01   7.92432765855441E+02
2.00552938993105E+01   7.62928515663678E+02
2.11263169905706E+01   7.33325262058041E+02
2.27108983118885E+01   6.94019523974573E+02
2.43072394832968E+01   6.58911116566381E+02
2.58869706779137E+01   6.27841366932053E+02
2.74809591499576E+01   5.99617887692789E+02
2.90753512915272E+01   5.74021876125019E+02
3.08755692790363E+01   5.47789638540714E+02
3.29764840040625E+01   5.20281498695734E+02
3.59647334384939E+01   4.85877040111703E+02
3.89704049663446E+01   4.55799890729111E+02
4.19556487008506E+01   4.29675394054520E+02
4.49628970128747E+01   4.06345439524397E+02
4.79542441085123E+01   3.85645119259773E+02
4.99529636899906E+01   3.73004981226985E+02
5.49489603055290E+01   3.44919554616028E+02
5.99521947870140E+01   3.20924674657708E+02
6.49542537996708E+01   3.00182723029411E+02
6.99551842530717E+01   2.82048661461399E+02
7.49526089239593E+01   2.66042757622241E+02
7.99504236737629E+01   2.51822803885303E+02
8.49465743631619E+01   2.39063394977536E+02
8.99449022206233E+01   2.27557641402349E+02
9.49436986536218E+01   2.17109284083589E+02
9.99441071846208E+01   2.07594897503505E+02
1.09945543858314E+02   1.90853452391094E+02
1.19949899307267E+02   1.76584405801988E+02
1.29941922567925E+02   1.64294685584556E+02
1.39950641567448E+02   1.53567990695593E+02
1.49957132461458E+02   1.44133036607028E+02
1.59964228954959E+02   1.35768611063367E+02
1.69968689404499E+02   1.28305006989386E+02
1.79970958104765E+02   1.21619811556208E+02
1.89972626458139E+02   1.15590819509688E+02
1.99976339500272E+02   1.10125664590304E+02
2.09988576330144E+02   1.05154182001847E+02
2.19997245376553E+02   1.00618138990799E+02
2.30002156416718E+02   9.64749313735121E+01
2.40001065811748E+02   9.26648565767496E+01
2.50006386252967E+02   8.91577664047916E+01
2.60020706413823E+02   8.59162232630847E+01
2.70033455511163E+02   8.29055955318485E+01
2.80019671423346E+02   8.01354465702477E+01
2.90043893824079E+02   7.75406144726980E+01
3.00052677340941E+02   7.51293317164866E+01
3.10060525205816E+02   7.28750375475818E+01
3.15066118446890E+02   7.18039752696862E+01
3.20088532404807E+02   7.07671558184048E+01
3.26100573619177E+02   6.95680597650569E+01
3.30099297827920E+02   6.87941366657721E+01
