Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   1.873544E+04   -3.032217E+04   -2.2658E+00
   1.500   1.606373E+04   -2.345362E+04   -2.1901E+00
   1.600   1.398696E+04   -1.832502E+04   -2.0962E+00
   1.700   1.235412E+04   -1.453563E+04   -2.0002E+00
   1.800   1.104534E+04   -1.178578E+04   -1.9207E+00
   1.900   9.973948E+03   -9.731762E+03   -1.8539E+00
   2.000   9.083350E+03   -8.148300E+03   -1.7941E+00
   2.100   8.332884E+03   -6.908164E+03   -1.7410E+00
   2.200   7.693344E+03   -5.919793E+03   -1.6928E+00
   2.300   7.142657E+03   -5.120451E+03   -1.6488E+00
   2.400   6.664477E+03   -4.464671E+03   -1.6078E+00
   2.500   6.245971E+03   -3.921634E+03   -1.5697E+00
   2.600   5.877199E+03   -3.467263E+03   -1.5339E+00
   2.700   5.550145E+03   -3.084210E+03   -1.5004E+00
   2.800   5.258442E+03   -2.758661E+03   -1.4689E+00
   2.900   4.996849E+03   -2.480143E+03   -1.4394E+00
   3.000   4.761124E+03   -2.240333E+03   -1.4116E+00
   3.100   4.547716E+03   -2.032602E+03   -1.3855E+00
   3.200   4.353712E+03   -1.851657E+03   -1.3610E+00
   3.300   4.176635E+03   -1.693255E+03   -1.3379E+00
   3.400   4.014428E+03   -1.553854E+03   -1.3160E+00
   3.500   3.865324E+03   -1.430649E+03   -1.2954E+00
   3.600   3.727838E+03   -1.321255E+03   -1.2759E+00
   3.700   3.600678E+03   -1.223743E+03   -1.2575E+00
   3.800   3.482748E+03   -1.136476E+03   -1.2400E+00
   3.900   3.373086E+03   -1.058104E+03   -1.2234E+00
   4.000   3.270870E+03   -9.874470E+02   -1.2076E+00
   4.200   3.085952E+03   -8.657431E+02   -1.1783E+00
   4.400   2.923181E+03   -7.649594E+02   -1.1514E+00
   4.600   2.778871E+03   -6.806528E+02   -1.1267E+00
   4.800   2.650025E+03   -6.096951E+02   -1.1043E+00
   5.000   2.534299E+03   -5.491718E+02   -1.0835E+00
   5.200   2.429777E+03   -4.973012E+02   -1.0643E+00
   5.400   2.334917E+03   -4.523774E+02   -1.0462E+00
   5.600   2.248423E+03   -4.134850E+02   -1.0298E+00
   5.800   2.169211E+03   -3.793421E+02   -1.0143E+00
   6.000   2.096418E+03   -3.492171E+02   -9.9947E-01
   6.500   1.937768E+03   -2.883880E+02   -9.6736E-01
   7.000   1.805614E+03   -2.423215E+02   -9.3943E-01
   7.500   1.693677E+03   -2.068106E+02   -9.1581E-01
   8.000   1.597578E+03   -1.786879E+02   -8.9479E-01
   8.500   1.514033E+03   -1.562497E+02   -8.7721E-01
   9.000   1.440655E+03   -1.378770E+02   -8.6134E-01
   9.500   1.375607E+03   -1.227654E+02   -8.4782E-01
  10.000   1.317486E+03   -1.100925E+02   -8.3563E-01
  10.500   1.265176E+03   -9.943187E+01   -8.2521E-01
  11.000   1.217799E+03   -9.031360E+01   -8.1577E-01
  11.500   1.174643E+03   -8.249751E+01   -8.0767E-01
  12.000   1.135131E+03   -7.571292E+01   -8.0040E-01
  12.500   1.098782E+03   -6.980885E+01   -7.9416E-01
  13.000   1.065208E+03   -6.459679E+01   -7.8835E-01
  13.500   1.034084E+03   -5.999358E+01   -7.8322E-01
  14.000   1.005125E+03   -5.592760E+01   -7.7899E-01
  14.500   9.780773E+02   -5.232850E+01   -7.7577E-01
  15.000   9.527377E+02   -4.908529E+01   -7.7280E-01
  15.500   9.289392E+02   -4.615765E+01   -7.7017E-01
  16.000   9.065336E+02   -4.350915E+01   -7.6792E-01
  16.500   8.853882E+02   -4.111009E+01   -7.6612E-01
  17.000   8.653885E+02   -3.892203E+01   -7.6460E-01
  17.500   8.464344E+02   -3.692360E+01   -7.6339E-01
  18.000   8.284375E+02   -3.509055E+01   -7.6244E-01
  18.500   8.113188E+02   -3.340675E+01   -7.6175E-01
  19.000   7.950090E+02   -3.185363E+01   -7.6127E-01
  19.500   7.794454E+02   -3.041889E+01   -7.6101E-01
  20.000   7.645726E+02   -2.908898E+01   -7.6092E-01
  21.000   7.367040E+02   -2.670514E+01   -7.6124E-01
  22.000   7.110587E+02   -2.463104E+01   -7.6208E-01
  23.000   6.873563E+02   -2.281337E+01   -7.6337E-01
  24.000   6.653622E+02   -2.120707E+01   -7.6495E-01
  25.000   6.448819E+02   -1.978060E+01   -7.6683E-01
  26.000   6.257509E+02   -1.850500E+01   -7.6888E-01
  27.000   6.078291E+02   -1.735835E+01   -7.7106E-01
  28.000   5.909968E+02   -1.632343E+01   -7.7336E-01
  29.000   5.751505E+02   -1.538436E+01   -7.7570E-01
  30.000   5.602000E+02   -1.452938E+01   -7.7808E-01
  31.000   5.460672E+02   -1.374802E+01   -7.8047E-01
  32.000   5.326825E+02   -1.303134E+01   -7.8284E-01
  33.000   5.199852E+02   -1.237248E+01   -7.8520E-01
  34.000   5.079206E+02   -1.176458E+01   -7.8752E-01
  35.000   4.964411E+02   -1.120170E+01   -7.8974E-01
  36.000   4.855033E+02   -1.068067E+01   -7.9197E-01
  37.000   4.750674E+02   -1.019664E+01   -7.9415E-01
  38.000   4.650991E+02   -9.745432E+00   -7.9623E-01
  39.000   4.555663E+02   -9.324932E+00   -7.9829E-01
  40.000   4.464400E+02   -8.931978E+00   -8.0028E-01
  42.000   4.293047E+02   -8.218904E+00   -8.0408E-01
  44.000   4.135082E+02   -7.590299E+00   -8.0766E-01
  46.000   3.988956E+02   -7.033259E+00   -8.1106E-01
  48.000   3.853351E+02   -6.536694E+00   -8.1426E-01
  50.000   3.727138E+02   -6.092751E+00   -8.1735E-01
  52.000   3.609343E+02   -5.693488E+00   -8.2026E-01
  54.000   3.499139E+02   -5.333104E+00   -8.2302E-01
  56.000   3.395786E+02   -5.007556E+00   -8.2580E-01
  58.000   3.298642E+02   -4.711443E+00   -8.2841E-01
  60.000   3.207151E+02   -4.441883E+00   -8.3100E-01
  65.000   3.000025E+02   -3.864022E+00   -8.3720E-01
  70.000   2.818927E+02   -3.395775E+00   -8.4324E-01
  75.000   2.659084E+02   -3.009650E+00   -8.4888E-01
  77.350   2.590244E+02   -2.851351E+00   -8.5147E-01
  80.000   2.516870E+02   -2.689070E+00   -8.5473E-01
  85.000   2.389338E+02   -2.419033E+00   -8.6056E-01
  90.000   2.274318E+02   -2.187951E+00   -8.6582E-01
  95.000   2.169994E+02   -1.989867E+00   -8.7114E-01
 100.000   2.074886E+02   -1.818537E+00   -8.7645E-01
 105.000   1.987776E+02   -1.669109E+00   -8.8167E-01
 110.000   1.907670E+02   -1.537999E+00   -8.8684E-01
 115.000   1.833721E+02   -1.422227E+00   -8.9194E-01
 120.000   1.765233E+02   -1.319314E+00   -8.9687E-01
 125.000   1.701607E+02   -1.227381E+00   -9.0163E-01
 130.000   1.642338E+02   -1.144834E+00   -9.0620E-01
 135.000   1.586988E+02   -1.070400E+00   -9.1056E-01
 140.000   1.535181E+02   -1.002991E+00   -9.1467E-01
 145.000   1.486587E+02   -9.417279E-01   -9.1855E-01
 150.000   1.440919E+02   -8.858506E-01   -9.2217E-01
 155.000   1.397923E+02   -8.347332E-01   -9.2554E-01
 160.000   1.357375E+02   -7.878281E-01   -9.2865E-01
 165.000   1.319077E+02   -7.446782E-01   -9.3150E-01
 170.000   1.282852E+02   -7.048800E-01   -9.3409E-01
 175.000   1.248539E+02   -6.680922E-01   -9.3642E-01
 180.000   1.215997E+02   -6.340107E-01   -9.3850E-01
 185.000   1.185097E+02   -6.023755E-01   -9.4034E-01
 190.000   1.155723E+02   -5.729539E-01   -9.4193E-01
 195.000   1.127768E+02   -5.455441E-01   -9.4329E-01
 200.000   1.101138E+02   -5.199648E-01   -9.4441E-01
 205.000   1.075744E+02   -4.960576E-01   -9.4532E-01
 210.000   1.051507E+02   -4.736789E-01   -9.4600E-01
 215.000   1.028353E+02   -4.527029E-01   -9.4648E-01
 220.000   1.006215E+02   -4.330145E-01   -9.4675E-01
 225.000   9.850316E+01   -4.145125E-01   -9.4683E-01
 230.000   9.647456E+01   -3.971036E-01   -9.4671E-01
 235.000   9.453044E+01   -3.807053E-01   -9.4642E-01
 240.000   9.266595E+01   -3.652418E-01   -9.4596E-01
 245.000   9.087658E+01   -3.506450E-01   -9.4533E-01
 250.000   8.915816E+01   -3.368524E-01   -9.4454E-01
 255.000   8.750681E+01   -3.238078E-01   -9.4360E-01
 260.000   8.591893E+01   -3.114591E-01   -9.4251E-01
 265.000   8.439114E+01   -2.997593E-01   -9.4129E-01
 270.000   8.292032E+01   -2.886648E-01   -9.3993E-01
 273.150   8.202163E+01   -2.819687E-01   -9.3902E-01
 275.000   8.150355E+01   -2.781363E-01   -9.3846E-01
 280.000   8.013808E+01   -2.681368E-01   -9.3686E-01
 285.000   7.882135E+01   -2.586330E-01   -9.3516E-01
 290.000   7.755098E+01   -2.495937E-01   -9.3335E-01
 295.000   7.632469E+01   -2.409905E-01   -9.3144E-01
 300.000   7.514039E+01   -2.327967E-01   -9.2945E-01
 305.000   7.399608E+01   -2.249880E-01   -9.2736E-01
 310.000   7.288991E+01   -2.175412E-01   -9.2520E-01
 315.000   7.182010E+01   -2.104362E-01   -9.2296E-01
 320.000   7.078501E+01   -2.036526E-01   -9.2066E-01
 325.000   6.978307E+01   -1.971723E-01   -9.1829E-01
